,structure,sequence,number_of_FLS,number_of_contact,number_of_HH_contact,contact_order,energy,hydrophobicity,designability,reversed_structure,number_of_FLS_in_reversed_structure
103,032300301012123,0010001001111001,1,8.0,5.0,0.390625,-4.9,7,127,032321210110301,1
104,032230301010121,0010001001111010,1,7.0,4.0,0.36607142857142855,-3.9,7,50,030101012123321,1
105,032300301012123,0010001001111011,1,8.0,5.0,0.390625,-4.9,8,127,032321210110301,1
106,032300300121123,0010001010011001,3,8.0,5.0,0.40625,-4.7,6,2,032232110110301,2
107,032303010101223,0010001010100001,0,8.0,3.0,0.390625,-3.0,5,601,033212121010301,1
108,032303010101223,0010001010100011,0,8.0,3.0,0.390625,-3.0,6,601,033212121010301,1
109,032303010101223,0010001010101001,0,8.0,3.0,0.390625,-3.0,6,601,033212121010301,1
110,032303010101223,0010001010101011,0,8.0,3.0,0.390625,-3.0,7,601,033212121010301,1
111,032300300121123,0010001010111001,3,8.0,5.0,0.40625,-4.7,7,2,032232110110301,2
112,030103033212321,0010001010111101,1,8.0,5.0,0.328125,-4.9,8,82,032303221210121,1
113,032300301012123,0010001011001001,1,8.0,5.0,0.390625,-4.9,6,127,032321210110301,1
114,032300301012123,0010001011001011,1,8.0,5.0,0.390625,-4.9,7,127,032321210110301,1
115,032300301012123,0010001011001101,1,8.0,5.0,0.390625,-4.9,7,127,032321210110301,1
116,032300301012123,0010001011001111,1,8.0,5.0,0.390625,-4.9,8,127,032321210110301,1
117,032300301012123,0010001011011001,1,8.0,5.0,0.390625,-4.9,7,127,032321210110301,1
118,032300301012123,0010001011011101,1,8.0,5.0,0.390625,-4.9,8,127,032321210110301,1
119,032300301012123,0010001011101001,1,8.0,5.0,0.390625,-4.9,7,127,032321210110301,1
120,032300301012123,0010001011101011,1,8.0,5.0,0.390625,-4.9,8,127,032321210110301,1
121,032300001123211,0010001100011110,2,8.0,4.0,0.375,-3.8,7,12,003230011112321,3
122,032300001211233,0010001100100001,2,8.0,4.0,0.40625,-3.8,5,22,003223211110301,3
123,032300001211233,0010001100110001,2,8.0,4.0,0.40625,-3.8,6,22,003223211110301,3
124,032230301010121,0010001101010010,1,7.0,4.0,0.36607142857142855,-3.9,6,50,030101012123321,1
125,032230301010121,0010001101010110,1,7.0,4.0,0.36607142857142855,-3.9,7,50,030101012123321,1
126,032300001123211,0010001101011110,2,8.0,5.0,0.375,-4.8,8,12,003230011112321,3
127,032330001112332,0010001101100111,3,9.0,6.0,0.5069444444444444,-5.7,8,11,033011122233032,3
128,032230301010121,0010001101110010,1,7.0,4.0,0.36607142857142855,-3.9,7,50,030101012123321,1
