,structure,sequence,number_of_FLS,number_of_contact,number_of_HH_contact,contact_order,energy,hydrophobicity,designability,reversed_structure,number_of_FLS_in_reversed_structure
5149,032321232300001,1011100000000101,0,8.0,4.0,0.40625,-4.0,6,46,033332121012123,1
5150,032303232111110,1011100000011101,0,8.0,5.0,0.4375,-5.0,8,137,033333212101210,1
5151,032303232111110,1011100000011111,0,8.0,5.0,0.4375,-5.0,9,137,033333212101210,1
5152,032303232121011,1011100000100111,0,8.0,5.0,0.390625,-5.0,8,117,003010121232123,1
5153,032303232121103,1011100000101011,1,8.0,5.0,0.328125,-4.0,8,12,032212101030103,1
5154,032303232121011,1011100000110111,0,8.0,5.0,0.390625,-5.0,9,117,003010121232123,1
5155,032321232300001,1011100001000101,0,8.0,4.0,0.40625,-4.0,7,46,033332121012123,1
5156,030303221212110,1011100001010001,1,7.0,5.0,0.5625,-4.0,7,10,033232322101010,2
5157,032303321212101,1011100001010011,1,8.0,6.0,0.390625,-5.0,8,20,030101012232123,1
5158,032303321212101,1011100001011011,1,8.0,6.0,0.390625,-5.0,9,20,030101012232123,1
5159,032303321212101,1011100001110011,1,8.0,6.0,0.390625,-5.0,9,20,030101012232123,1
5160,032321232300001,1011100010000101,0,8.0,4.0,0.40625,-4.0,7,46,033332121012123,1
5161,032303222210103,1011100010001011,1,8.0,5.0,0.34375,-4.0,8,7,032321111030103,1
5162,032303010101223,1011100010100001,0,8.0,4.0,0.390625,-4.0,7,992,033212121010301,1
5163,032303010101223,1011100010101001,0,8.0,4.0,0.390625,-4.0,8,992,033212121010301,1
5164,032323000001222,1011100011000011,1,7.0,5.0,0.4017857142857143,-4.0,8,1,000322222101012,2
5165,032321232300001,1011100011000101,0,8.0,4.0,0.40625,-4.0,8,46,033332121012123,1
5166,032322101210103,1011100011001001,1,8.0,6.0,0.34375,-5.0,8,84,032321232110103,1
5167,032322101210103,1011100011101001,1,8.0,6.0,0.34375,-5.0,9,84,032321232110103,1
5168,032323030301112,1011100100000001,0,5.0,4.0,0.4125,-4.0,6,2,033321212101012,1
5169,032303232121011,1011100100000111,0,8.0,5.0,0.390625,-5.0,8,117,003010121232123,1
5170,032303232112101,1011100100010010,1,8.0,5.0,0.375,-4.0,7,17,030100121232123,1
5171,032303232111110,1011100100011101,0,8.0,6.0,0.4375,-6.0,9,137,033333212101210,1
5172,032323030100122,1011100100100001,1,7.0,6.0,0.36607142857142855,-5.0,7,2,003223212101012,2
5173,032303232121011,1011100100100101,0,8.0,6.0,0.390625,-6.0,8,117,003010121232123,1
5174,032303232121011,1011100100100111,0,8.0,7.0,0.390625,-7.0,9,117,003010121232123,1
5175,032303232121103,1011100100101011,1,8.0,7.0,0.328125,-6.0,9,12,032212101030103,1
5176,032303232121011,1011100100110111,0,8.0,7.0,0.390625,-7.0,10,117,003010121232123,1
5177,032303232111110,1011100100111101,0,8.0,7.0,0.4375,-7.0,10,137,033333212101210,1
5178,032323030301121,1011100101001011,1,7.0,7.0,0.4017857142857143,-6.0,9,1,030012121232321,1
5179,030332121212100,1011100101010011,1,7.0,7.0,0.4732142857142857,-6.0,9,19,003232323211010,2
5180,030303221212110,1011100101010101,1,7.0,7.0,0.5625,-6.0,9,10,033232322101010,2
5181,032303232121011,1011100101100111,0,8.0,7.0,0.390625,-7.0,10,117,003010121232123,1
5182,032303232121011,1011100101110111,0,8.0,7.0,0.390625,-7.0,11,117,003010121232123,1
5183,032303222210103,1011100110001011,1,8.0,6.0,0.34375,-5.0,9,7,032321111030103,1
5184,032303222101210,1011100110011001,1,9.0,7.0,0.3402777777777778,-6.0,9,8,032303222101210,1
5185,032323030100122,1011100110100001,1,7.0,6.0,0.36607142857142855,-5.0,8,2,003223212101012,2
5186,032303232121011,1011100110100101,0,8.0,6.0,0.390625,-6.0,9,117,003010121232123,1
