,number_of_strands,topology,number_of_jumps,number_of_FabP,contact_order,OFHT
56,5,41352,4,1,0.5,0.0
57,6,125436,2,1,0.3,0.0
58,5,15234,2,1,0.45,0.0
59,6,314625,5,1,0.4666666666666667,0.0
60,6,231654,2,2,0.33333333333333337,0.0
61,5,25143,3,1,0.55,0.0
62,5,41532,3,1,0.5,0.0
63,6,162345,2,1,0.4,0.0
64,6,413526,5,1,0.4666666666666667,0.0
65,5,32154,1,1,0.35,0.0
66,6,142536,5,1,0.4333333333333333,0.0
67,5,23154,2,2,0.4,0.0
68,6,125364,4,1,0.36666666666666664,0.0
69,6,214356,2,1,0.26666666666666666,0.0
70,6,612543,2,1,0.36666666666666664,0.0
71,6,216354,3,2,0.4,0.0
72,6,614253,5,1,0.5,0.0
73,6,516234,3,0,0.5,0.0
74,6,321465,2,1,0.26666666666666666,0.0
75,6,164253,5,1,0.4666666666666667,0.0
76,6,612345,1,0,0.3,0.0
77,4,3142,3,0,0.5833333333333334,0.0
78,5,14325,2,1,0.4,0.0
79,6,231546,3,2,0.33333333333333337,0.0
80,6,231645,3,2,0.36666666666666664,0.0
81,5,31425,4,0,0.5,0.0
82,5,12435,2,1,0.3,0.0
83,6,215436,2,1,0.33333333333333337,0.0
84,5,12534,2,1,0.35,0.0
85,6,126345,2,1,0.33333333333333337,0.0
86,6,126543,1,1,0.26666666666666666,0.0
87,4,1243,1,1,0.3333333333333333,0.0
88,6,162354,3,2,0.4333333333333333,0.0
89,6,561432,2,2,0.36666666666666664,0.0
90,6,561243,2,2,0.33333333333333337,0.0
91,6,152634,4,1,0.5,0.0
92,6,416352,5,1,0.5333333333333333,0.0
93,6,641523,4,0,0.4333333333333333,0.0
94,6,135246,5,1,0.36666666666666664,0.0
95,6,316425,5,1,0.4666666666666667,0.0
96,6,561423,3,2,0.4,0.0
97,6,251364,5,0,0.4666666666666667,0.0
98,6,132465,3,2,0.26666666666666666,0.0
99,6,214365,2,2,0.3,0.0
100,6,136245,4,1,0.4,0.0
101,6,123546,2,1,0.23333333333333334,0.0
102,6,126534,2,1,0.3,0.0
103,6,123645,2,1,0.26666666666666666,0.0
104,6,514632,4,2,0.4333333333333333,0.0
105,6,124635,4,1,0.33333333333333337,0.0
106,5,51243,2,1,0.4,0.0
107,6,132456,2,1,0.23333333333333334,0.0
108,5,15243,3,2,0.5,0.0
109,6,451623,3,1,0.5,0.0
110,6,516423,4,1,0.4666666666666667,0.0
111,6,541632,3,1,0.4333333333333333,0.0
112,6,162534,4,2,0.5,0.0
113,6,261543,3,1,0.5,0.0
114,6,152643,4,2,0.4666666666666667,0.0
115,6,261354,4,1,0.4666666666666667,0.0
116,5,24135,4,0,0.45,0.0
117,5,41523,3,0,0.55,0.0
118,5,13254,2,2,0.35,0.0
119,6,541362,4,1,0.4333333333333333,0.0
120,6,213654,2,1,0.26666666666666666,0.0
121,6,612534,3,1,0.4,0.0
122,6,516243,4,1,0.5333333333333333,0.0
123,6,132546,3,2,0.3,0.0
124,6,241635,5,1,0.5,0.0
125,6,461352,5,1,0.4666666666666667,0.0
126,6,132645,3,2,0.33333333333333337,0.0
127,6,163524,5,1,0.5,0.0
128,6,251436,4,1,0.4666666666666667,0.0
129,5,12543,1,1,0.3,0.0
130,6,541623,3,0,0.4666666666666667,0.0
131,6,613524,5,1,0.4666666666666667,0.0
132,6,615432,2,1,0.4,0.0
133,6,651432,2,1,0.33333333333333337,0.0
134,6,132654,2,2,0.3,0.0
135,6,143265,2,2,0.33333333333333337,0.0
136,6,514623,4,1,0.4666666666666667,0.0
137,6,321645,2,1,0.33333333333333337,0.0
138,6,361425,5,0,0.5333333333333333,0.0
139,6,124365,2,2,0.26666666666666666,0.0
140,6,451632,3,2,0.4666666666666667,0.0
141,6,154326,2,1,0.36666666666666664,0.0
142,6,415263,5,0,0.5666666666666667,0.0
143,6,514362,4,1,0.5,0.0
144,6,641532,4,1,0.4,0.0
145,6,314256,4,0,0.36666666666666664,0.0
146,6,612354,2,1,0.33333333333333337,0.0
147,6,241356,4,0,0.33333333333333337,0.0
148,6,415326,4,1,0.4666666666666667,0.0
149,6,431526,4,0,0.4666666666666667,0.0
150,5,25134,3,0,0.5,0.0
151,6,213645,3,1,0.3,0.0
152,6,214635,4,1,0.36666666666666664,0.0
153,6,216534,2,1,0.33333333333333337,0.0
154,5,21534,2,1,0.4,0.0
155,5,13524,4,1,0.45,0.0
156,6,231465,3,2,0.3,0.0
157,6,213546,3,1,0.26666666666666666,0.0
158,6,615243,4,2,0.5,0.0
159,6,314265,4,1,0.4,0.0
160,4,1324,2,1,0.4166666666666667,0.0
161,6,123654,1,1,0.23333333333333334,0.0
162,6,241365,4,1,0.36666666666666664,0.0
163,6,136254,4,2,0.4333333333333333,0.0
164,6,261345,3,0,0.4333333333333333,0.0
165,6,451362,4,2,0.4666666666666667,0.0
166,6,341526,4,1,0.5,0.0
